Date,Open,High,Low,Close,Adj Close,Volume
2012-01-20,10.305000,10.407500,10.286250,10.398750,10.394219,3340800
2012-01-23,10.396250,10.622500,10.225000,10.397500,10.392969,5736000
2012-01-24,10.265000,10.428750,10.208750,10.340000,10.335494,3983200
2012-01-25,10.666250,10.812500,10.428750,10.735000,10.730322,8438400
2012-01-26,10.872500,10.931250,10.471250,10.621250,10.616622,7795200
2012-01-27,10.560000,10.772500,10.542500,10.726250,10.721577,7035200
2012-01-30,10.452500,10.787500,10.330000,10.743750,10.739069,7028000
2012-01-31,10.897500,10.961250,10.581250,10.781250,10.776552,8258400
2012-02-01,10.966250,11.166250,10.862500,11.046250,11.041437,7322400
2012-02-02,11.155000,11.260000,11.022500,11.160000,11.155137,6049600
2012-02-03,11.468750,11.643750,11.408750,11.603750,11.598695,6460000
2012-02-06,11.472500,11.593750,11.392500,11.592500,11.587448,5451200
2012-02-07,11.562500,11.722500,11.405000,11.642500,11.637427,5424000
2012-02-08,11.660000,11.836250,11.533750,11.836250,11.831094,6453600
2012-02-09,11.965000,12.137500,11.763750,12.098750,12.093478,6356000
2012-02-10,11.842500,11.940000,11.717500,11.840000,11.834841,8116800
2012-02-13,12.105000,12.213750,11.951250,12.158750,12.153452,6633600
2012-02-14,12.090000,12.265000,11.967500,12.265000,12.259657,7244800
2012-02-15,12.441250,12.641250,11.951250,11.991250,11.986025,15994400
2012-02-16,12.027500,12.542500,11.928750,12.492500,12.487058,10511200
2012-02-17,12.503750,12.533750,12.225000,12.386250,12.380853,6747200
2012-02-21,12.433750,12.650000,12.255000,12.491250,12.485807,6848800
2012-02-22,12.415000,12.523750,12.266250,12.326250,12.320879,5224000
2012-02-23,12.368750,12.598750,12.187500,12.560000,12.554528,8756000
2012-02-24,12.665000,12.756250,12.597500,12.682500,12.676974,5607200
2012-02-27,12.465000,12.865000,12.318750,12.743750,12.738197,7700800
2012-02-28,12.770000,13.125000,12.731250,13.125000,13.119282,7999200
2012-02-29,13.165000,13.287500,12.832500,12.952500,12.946857,11087200
2012-03-01,13.103750,13.298750,12.988750,13.267500,13.261720,9776800
2012-03-02,13.222500,13.360000,13.107500,13.227500,13.221737,6927200
2012-03-05,13.213750,13.256250,12.692500,12.815000,12.809416,10185600
2012-03-06,12.455000,12.525000,12.242500,12.447500,12.442077,8981600
2012-03-07,12.620000,12.812500,12.565000,12.730000,12.724453,7801600
2012-03-08,12.946250,13.250000,12.875000,13.133750,13.128028,5198400
2012-03-09,13.211250,13.373750,13.180000,13.292500,13.286708,6456000
2012-03-12,13.276250,13.361250,13.121250,13.313750,13.307950,6312800
2012-03-13,13.547500,14.066250,13.458750,14.063750,14.057622,7977600
2012-03-14,14.105000,14.368750,13.955000,14.221250,14.215054,10127200
2012-03-15,14.338750,14.418750,14.128750,14.330000,14.323756,8200800
2012-03-16,14.400000,14.402500,14.203750,14.298750,14.292520,5762400
2012-03-19,14.370000,14.706250,14.268750,14.610000,14.603634,7998400
2012-03-20,14.386250,14.736250,14.267500,14.690000,14.683599,7683200
2012-03-21,14.703750,14.932500,14.631250,14.685000,14.678602,6524000
2012-03-22,14.423750,14.698750,14.415000,14.596250,14.589890,8884000
2012-03-23,14.653750,14.663750,14.325000,14.576250,14.569900,6562400
2012-03-26,14.847500,15.337500,14.831250,15.337500,15.330817,6606400
2012-03-27,15.353750,15.590000,15.347500,15.396250,15.389543,7468800
2012-03-28,15.425000,15.601250,14.945000,15.216250,15.209620,7932000
2012-03-29,15.001250,15.211250,14.721250,15.060000,15.053438,7179200
2012-03-30,15.250000,15.267500,14.776250,14.955000,14.948484,5268800
2012-04-02,14.913750,15.480000,14.837500,15.411250,15.404535,5227200
2012-04-03,15.478750,15.621250,15.148750,15.412500,15.405786,6979200
2012-04-04,15.051250,15.085000,14.518750,14.783750,14.777308,8548000
2012-04-05,14.702500,15.091250,14.665000,15.053750,15.047191,6444000
2012-04-09,14.481250,14.895000,14.413750,14.707500,14.701093,5996000
2012-04-10,14.680000,14.860000,13.862500,13.997500,13.991402,12226400
2012-04-11,14.385000,14.481250,14.096250,14.200000,14.193813,7033600
2012-04-12,14.283750,14.735000,14.231250,14.676250,14.669855,7428800
2012-04-13,14.528750,14.541250,14.001250,14.012500,14.006394,7638400
2012-04-16,14.246250,14.253750,13.425000,13.571250,13.565337,8353600
2012-04-17,13.740000,14.501250,13.665000,14.371250,14.364988,7885600
2012-04-18,14.242500,14.513750,14.135000,14.266250,14.260034,5345600
2012-04-19,14.116250,14.625000,13.631250,13.805000,13.798985,8300000
2012-04-20,14.005000,14.192500,13.608750,13.656250,13.650300,7126400
2012-04-23,13.305000,13.356250,12.931250,13.312500,13.306700,5839200
2012-04-24,13.228750,13.383750,12.913750,13.077500,13.071803,5404000
2012-04-25,13.890000,14.142500,13.827500,14.116250,14.110100,6350400
2012-04-26,14.096250,14.466250,14.062500,14.368750,14.362489,5936800
2012-04-27,14.545000,14.766250,14.321250,14.615000,14.608632,4372000
2012-04-30,14.485000,14.578750,14.280000,14.311250,14.305014,4007200
2012-05-01,14.232500,14.861250,14.213750,14.392500,14.386230,4361600
2012-05-02,14.160000,14.540000,14.078750,14.487500,14.481188,3216000
2012-05-03,14.537500,14.566250,13.937500,14.037500,14.031384,4189600
2012-05-04,13.653750,13.718750,13.000000,13.007500,13.001832,7590400
2012-05-07,12.760000,13.216250,12.746250,13.026250,13.020575,8793600
2012-05-08,12.776250,13.015000,12.256250,12.882500,12.876886,11520000
2012-05-09,12.443750,12.973750,12.276250,12.811250,12.805667,11230400
2012-05-10,12.938750,12.950000,12.540000,12.680000,12.674475,16922400
2012-05-11,12.527500,13.082500,12.522500,12.667500,12.661981,4007200
2012-05-14,12.362500,12.617500,12.267500,12.317500,12.312134,6850000
2012-05-15,12.457500,12.725000,12.140000,12.210000,12.204680,6303200
2012-05-16,12.340000,12.440000,11.882500,11.945000,11.939795,6191600
2012-05-17,11.965000,12.017500,11.205000,11.210000,11.205115,10860000
2012-05-18,11.315000,11.390000,10.732500,10.760000,10.755312,11746800
2012-05-21,10.822500,11.692500,10.787500,11.665000,11.659918,8600400
2012-05-22,11.752500,11.907500,11.365000,11.622500,11.617436,8051600
2012-05-23,11.335000,11.777500,11.032500,11.687500,11.682407,6748000
2012-05-24,11.750000,11.777500,11.200000,11.477500,11.472500,6450000
2012-05-25,11.497500,11.552500,11.312500,11.412500,11.407528,2604000
2012-05-29,11.737500,12.010000,11.537500,11.837500,11.832342,5890000
2012-05-30,11.525000,11.675000,11.332500,11.550000,11.544969,5192400
2012-05-31,11.510000,11.595000,11.137500,11.385000,11.380040,6920000
2012-06-01,10.795000,10.990000,10.480000,10.490000,10.485430,9347600
2012-06-04,10.582500,10.775000,10.297500,10.715000,10.710332,9514400
2012-06-05,10.617500,10.920000,10.602500,10.862500,10.857768,8186800
2012-06-06,11.115000,11.630000,11.075000,11.605000,11.599943,7155200
2012-06-07,11.952500,11.965000,11.435000,11.475000,11.470000,7142000
2012-06-08,11.402500,11.845000,11.295000,11.812500,11.807353,5266000
2012-06-11,12.057500,12.090000,11.182500,11.247500,11.242599,7574800
2012-06-12,11.340000,11.622500,11.137500,11.602500,11.597445,5624800
2012-06-13,11.512500,11.772500,11.247500,11.375000,11.370045,4041600
2012-06-14,11.362500,11.625000,11.182500,11.502500,11.497488,5475600
2012-06-15,11.582500,11.967500,11.575000,11.927500,11.922303,7031600
2012-06-18,11.795000,12.342500,11.722500,12.235000,12.229669,7361200
2012-06-19,12.440000,12.790000,12.422500,12.637500,12.631994,6771600
2012-06-20,12.707500,12.827500,12.377500,12.682500,12.676974,8101200
2012-06-21,12.632500,12.682500,11.682500,11.732500,11.727387,6491200
2012-06-22,11.827500,12.137500,11.747500,12.097500,12.092229,5835200
2012-06-25,11.787500,11.800000,11.287500,11.380000,11.375042,5590000
2012-06-26,11.495000,11.697500,11.345000,11.600000,11.594946,5695200
2012-06-27,11.732500,11.965000,11.697500,11.812500,11.807353,4874400
2012-06-28,11.540000,11.570000,11.050000,11.387500,11.382538,8716000
2012-06-29,12.075000,12.500000,11.962500,12.500000,12.494554,10274800
2012-07-02,12.537500,12.625000,12.325000,12.600000,12.594510,5212800
2012-07-03,12.622500,12.920000,12.565000,12.900000,12.894379,3872800
2012-07-05,12.890000,13.135000,12.680000,12.945000,12.939359,4940000
2012-07-06,12.772500,12.795000,12.192500,12.435000,12.429583,6052000
2012-07-09,12.420000,12.547500,12.212500,12.392500,12.387100,4005200
2012-07-10,12.597500,12.687500,11.887500,12.012500,12.007266,7194400
2012-07-11,11.990000,12.080000,11.535000,11.847500,11.842338,9212000
2012-07-12,11.557500,11.637500,11.177500,11.505000,11.499988,8973200
2012-07-13,11.592500,12.095000,11.570000,12.005000,11.999769,5880000
2012-07-16,11.940000,12.092500,11.775000,11.915000,11.909808,4530800
2012-07-17,12.132500,12.220000,11.590000,12.097500,12.092229,7233600
2012-07-18,12.022500,12.700000,12.020000,12.590000,12.584515,7810000
2012-07-19,12.860000,13.125000,12.787500,13.000000,12.994336,9010400
2012-07-20,13.010000,13.010000,12.475000,12.500000,12.494554,6863600
2012-07-23,11.765000,12.170000,11.490000,12.037500,12.032255,9241200
2012-07-24,12.105000,12.152500,11.527500,11.762500,11.757375,10508000
2012-07-25,11.492500,11.745000,11.305000,11.500000,11.494990,8194800
2012-07-26,12.017500,12.175000,11.757500,11.950000,11.944794,9626000
2012-07-27,12.230000,12.882500,12.125000,12.855000,12.849399,11304400
2012-07-30,12.922500,13.085000,12.662500,12.777500,12.771933,7634800
2012-07-31,12.855000,13.000000,12.745000,12.785000,12.779429,5531200
2012-08-01,13.050000,13.057500,12.525000,12.660000,12.654484,6288400
2012-08-02,12.362500,12.907500,12.252500,12.527500,12.522041,6909600
2012-08-03,13.140000,13.510000,13.002500,13.240000,13.234231,8128400
2012-08-06,13.457500,13.717500,13.370000,13.537500,13.531601,5317200
2012-08-07,13.740000,14.045000,13.660000,13.872500,13.866456,5858400
2012-08-08,13.770000,13.952500,13.707500,13.850000,13.843966,3580400
2012-08-09,13.855000,14.037500,13.782500,13.967500,13.961413,3229200
2012-08-10,13.852500,14.025000,13.732500,14.025000,14.018888,3889600
2012-08-13,14.015000,14.110000,13.787500,14.110000,14.103851,2996000
2012-08-14,14.270000,14.355000,14.012500,14.130000,14.123843,4590000
2012-08-15,14.095000,14.295000,14.085000,14.230000,14.223799,2985600
2012-08-16,14.402500,14.845000,14.342500,14.740000,14.733578,5792400
2012-08-17,14.837500,14.942500,14.742500,14.942500,14.935989,4733600
2012-08-20,14.915000,15.010000,14.735000,15.000000,14.993464,3829600
2012-08-21,15.145000,15.307500,14.650000,14.827500,14.821039,9092800
2012-08-22,14.715000,15.097500,14.605000,14.987500,14.980970,4739600
2012-08-23,14.820000,14.945000,14.525000,14.655000,14.648614,4568400
2012-08-24,14.530000,15.020000,14.467500,14.915000,14.908502,4343200
2012-08-27,15.110000,15.162500,14.885000,14.987500,14.980970,3140800
2012-08-28,14.940000,15.105000,14.795000,14.985000,14.978470,3652400
2012-08-29,15.002500,15.100000,14.797500,14.990000,14.983469,3072400
2012-08-30,14.790000,14.805000,14.460000,14.532500,14.526169,5178000
